"Cell age","Growth","Growth rate","Absolute position","Relative position"
12.2,8.68442,0.0345,327.385573,0.573379
12.2,7.138453,0.038203,324.949668,0.569113
12.2,11.047155,0.036772,333.231744,0.583618
12.2,5.928386,0.033256,336.154829,0.588737
12.2,6.376483,0.032562,330.795839,0.579352
12.2,5.676785,0.041848,340.052277,0.595563
12.2,7.38228,0.03783,334.693287,0.586177
12.2,7.141696,0.038974,344.436905,0.603242
12.2,6.065532,0.029117,343.462543,0.601536
12.2,3.423597,0.012964,353.206161,0.618601
12.2,7.437728,0.039729,359.052332,0.62884
12.2,6.807726,0.035979,356.616428,0.624573
12.2,5.045802,0.02953,362.94978,0.635666
12.2,7.842048,0.035449,362.462599,0.634812
12.2,9.81989,0.028638,379.513931,0.664676
12.2,5.85111,0.010069,451.616706,0.790956
12.2,5.078208,0.021019,487.180912,0.853242
12.2,7.33455,0.016305,531.514375,0.930887
13.85,7.496302,0.05177,93.117176,0.292146
13.85,5.660366,0.048197,104.71866,0.328544
13.85,5.300528,0.047315,108.687589,0.340996
13.85,5.940632,0.042493,115.404237,0.362069
13.85,7.080014,0.045157,125.784513,0.394636
13.85,5.639529,0.057427,119.983771,0.376437
13.85,5.045653,0.066199,127.616326,0.400383
13.85,5.833349,0.052434,135.859486,0.426245
13.85,5.641346,0.046531,147.155668,0.461686
13.85,6.265902,0.040167,140.133717,0.439655
13.85,7.120033,0.033137,158.757152,0.498084
13.85,8.937957,0.038818,157.841245,0.495211
13.85,5.342741,0.030324,162.115476,0.508621
13.85,6.675226,0.046807,172.801054,0.542146
13.85,6.44484,0.038572,174.632867,0.547893
13.85,5.950493,0.046314,170.663938,0.535441
13.85,6.101827,0.040201,177.380587,0.556513
13.85,5.760703,0.041273,190.508582,0.597701
13.85,8.425237,0.043994,201.804764,0.633142
13.85,3.280615,0.050255,199.972951,0.627395
13.85,6.800018,0.046142,210.658529,0.66092
13.85,5.251151,0.051995,210.047924,0.659004
15.79,5.688851,0.049138,253.913186,0.305344
15.79,4.094353,0.035962,259.555701,0.312129
15.79,5.053637,0.033173,263.082273,0.31637
15.79,10.813383,0.022801,261.671644,0.314673
15.79,6.815212,0.0402,294.116107,0.35369
15.79,3.852061,0.035115,301.874565,0.36302
15.79,4.244117,0.025174,306.106452,0.368109
15.79,4.71935,0.034225,318.802111,0.383376
15.79,5.7827,0.030152,323.739312,0.389313
15.79,8.874193,0.033827,315.275539,0.379135
15.79,4.416769,0.044169,322.328683,0.387617
15.79,3.379615,0.034167,322.328683,0.387617
15.79,4.423198,0.022565,327.265884,0.393554
15.79,8.1182,0.031932,324.444626,0.390161
15.79,5.865078,0.030333,333.613714,0.401187
